Continente,Localidae,Fluxo Comercial,Mercadoria,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Asia,"China, Hong Kong SAR",Export,Crustaceans,621,265,188,129,118,53,92,40,46,73,30,106,81,46,32,60
Asia,"China, Hong Kong SAR",Export,Fish,47870,43603,44178,39378,39554,38237,37350,33878,34196,35149,35338,37017,33935,37153,35496,32120
Asia,"China, Hong Kong SAR",Import,Crustaceans,60379,55255,56103,50440,46965,48863,58895,59123,56240,66791,69572,68999,80279,81470,80062,72788
Asia,"China, Hong Kong SAR",Import,Fish,180241,215780,218301,221014,227962,218042,226935,216257,193906,198639,243380,242602,252392,271959,277795,294298
Asia,"China, Macao SAR",Export,Crustaceans,301,280,261,193,183,89,24,20,19,27,0,0,0,0,0,0
Asia,"China, Macao SAR",Export,Fish,11,0,0,0,75,71,130,77,105,473,0,0,0,0,0,0
Asia,"China, Macao SAR",Import,Crustaceans,1190,1794,2410,3164,2834,2448,2720,3125,3146,3210,3374,3315,3440,3657,4283,5111
Asia,"China, Macao SAR",Import,Fish,8833,9843,10501,14021,12944,13024,14213,13935,13607,13991,14163,14355,14345,13965,15989,16061
Asia,Cyprus,Export,Crustaceans,37,79,60,14,6,24,1,1,0,0,0,0,0,8,0,24
Asia,Cyprus,Export,Fish,687,666,657,574,2490,2988,2700,2562,2646,2166,2686,3303,3107,4339,3541,4549
Asia,Cyprus,Import,Crustaceans,484,680,438,540,695,882,1044,1236,1438,1390,1485,1519,1440,1182,1354,1317
Asia,Cyprus,Import,Fish,5354,5959,5866,6941,11031,11813,9598,11538,11716,8049,8436,8562,7963,8207,8303,8281
Asia,Georgia,Export,Crustaceans,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,1
Asia,Georgia,Export,Fish,831,2971,342,7781,3263,16303,6235,7035,14054,20533,21830,8245,1293,1666,4314,12232
Asia,Georgia,Import,Crustaceans,0,1,0,0,53,73,55,46,89,25,26,63,54,58,60,90
Asia,Georgia,Import,Fish,2794,2668,3516,5036,9186,14767,18625,20818,25068,18703,20687,21345,20899,23003,21227,21253
Asia,India,Export,Crustaceans,140974,150921,188470,201931,204923,215902,200538,165851,157489,163593,200236,272344,289388,300071,368553,400376
Asia,India,Export,Fish,307428,246443,261302,142982,185636,238141,311644,235070,195742,363979,399212,481879,482228,444938,449256,366673
Asia,India,Import,Crustaceans,114,300,823,629,741,1286,862,1188,1355,1205,882,1336,1108,731,851,1405
Asia,India,Import,Fish,3770,4292,2448,3064,4782,9542,9179,11659,11917,9940,19186,25246,18861,16238,21861,23586
Asia,Indonesia,Export,Crustaceans,128567,140485,135990,149675,160351,170169,185184,176259,189323,166755,163981,178844,182722,193204,216390,211210
Asia,Indonesia,Export,Fish,312271,257179,334326,591161,624533,539955,551742,474816,507629,511978,687238,653585,743574,731585,714987,494232
Asia,Indonesia,Import,Crustaceans,3342,1999,2552,2802,13379,2334,1655,3828,4442,5952,4335,6949,8916,9054,7571,6500
Asia,Indonesia,Import,Fish,26542,16101,20469,21155,28214,25298,45533,56492,110950,159216,217174,226657,147252,142546,132987,127417
Asia,Iran (Islamic Rep. of),Export,Crustaceans,1784,769,4576,7529,8129,1044,3255,0,0,4062,2996,4197,9899,11707,11676,13121
Asia,Iran (Islamic Rep. of),Export,Fish,4987,4284,9109,9794,11045,18854,26543,12491,15355,26756,37164,48921,49197,60030,54638,58120
Asia,Iran (Islamic Rep. of),Import,Crustaceans,0,0,0,0,0,0,0,0,4,16,3,0,0,0,0,0
Asia,Iran (Islamic Rep. of),Import,Fish,4913,3130,8421,30799,14524,17317,8014,11907,18038,32328,79422,60753,42705,38541,62415,58054
Asia,Iraq,Export,Fish,104,155,111,110,90,10,104,100,100,100,150,203,230,235,265,120
Asia,Iraq,Import,Crustaceans,0,0,0,7,5,1,4,9,3,10,2,11,47,123,204,204
Asia,Iraq,Import,Fish,56,18,128,1850,7800,8797,19178,24257,34162,38536,38494,39922,39649,38682,38012,36983
Asia,Israel,Export,Fish,291,395,319,333,450,532,664,782,1281,1093,711,223,648,908,686,373
Asia,Israel,Import,Crustaceans,285,429,378,500,514,631,763,973,1386,1494,1742,2420,1501,1917,2453,2310
Asia,Israel,Import,Fish,45759,50764,48418,52895,64007,55478,41802,55896,54350,54229,65914,71580,72206,82608,86809,83923
Asia,Japan,Export,Crustaceans,3671,5691,4712,4384,6317,7180,7103,7937,4477,3960,4330,3135,2591,2490,2967,2958
Asia,Japan,Export,Fish,171505,219415,231336,289749,347964,400915,532569,540387,437580,419721,479942,341388,343994,444741,365530,417559
Asia,Japan,Import,Crustaceans,435178,418837,425284,359054,438248,421473,424884,374489,358433,349733,347281,354500,364430,329623,289456,268306
Asia,Japan,Import,Fish,2125207,2264241,2271741,1953832,2061470,1971499,1766063,1656178,1636757,1508926,1588017,1582772,1596021,1455000,1493485,1536948
Asia,Jordan,Export,Fish,1158,100,115,128,34,16,2,0,43,0,0,0,2,0,0,0
Asia,Jordan,Import,Crustaceans,47,66,42,95,167,201,301,353,405,459,512,525,647,530,607,582
Asia,Jordan,Import,Fish,12386,13596,14316,14822,19251,17255,20970,20349,26874,28135,26629,24227,31871,29364,28383,32383
Asia,Kazakhstan,Export,Crustaceans,0,1,0,1,5,127,192,643,1173,689,89,628,938,111,57,32
Asia,Kazakhstan,Export,Fish,17706,21494,25680,30553,30340,32942,32313,34564,35231,37185,24178,20980,22402,19835,21728,23487
Asia,Kazakhstan,Import,Crustaceans,39,29,40,54,85,181,264,467,492,465,555,663,843,716,921,881
Asia,Kazakhstan,Import,Fish,37033,33938,33083,33398,32443,41477,43549,55840,63653,57875,54254,55929,55295,54326,43943,42243
Asia,"Korea, Dem. People's Rep",Export,Crustaceans,5459,8564,20184,20565,18941,7524,3595,438,509,1630,1718,1607,1043,1075,2749,4005
Asia,"Korea, Dem. People's Rep",Export,Fish,8226,4350,6361,9438,21842,19834,18310,11326,10811,9818,12901,10841,9176,9753,12018,13630
Asia,"Korea, Dem. People's Rep",Import,Crustaceans,967,1075,2702,2101,2154,2852,3277,4077,6351,4557,2669,1766,1840,3166,545,463
Asia,"Korea, Dem. People's Rep",Import,Fish,4665,12471,13721,12469,13694,12604,12309,11340,9809,12856,14196,21230,35069,43096,37773,34698
Asia,"Korea, Republic of",Export,Crustaceans,4517,5188,9141,10402,7462,10645,18311,15305,16966,15988,14186,19960,12740,9764,9755,10359
Asia,"Korea, Republic of",Export,Fish,288219,234701,245086,237230,217045,226507,220146,272794,323926,409920,561274,428508,476229,429935,441764,400625
Asia,"Korea, Republic of",Import,Crustaceans,46393,58895,87014,92641,114890,105970,129457,131839,111389,106184,101268,109669,107320,94630,101776,126751
Asia,"Korea, Republic of",Import,Fish,544997,813910,890846,924117,899330,877237,941218,969756,765069,781216,823589,892134,834079,807391,860863,891475
Asia,Kuwait,Export,Crustaceans,510,403,460,315,199,97,254,138,275,204,107,67,50,65,1,71
Asia,Kuwait,Export,Fish,0,48,27,138,26,41,681,209,300,568,427,245,188,213,6,172
Asia,Kuwait,Import,Crustaceans,440,359,482,1168,832,853,1441,2117,1853,1887,3274,3669,3367,4077,5416,5896
Asia,Kuwait,Import,Fish,10509,10128,9563,12987,11484,14245,17169,19911,19124,28794,22094,23110,32143,26109,28995,32801
Asia,Kyrgyzstan,Export,Crustaceans,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0
Asia,Kyrgyzstan,Export,Fish,52,0,0,0,34,0,11,235,346,156,71,1,0,0,0,29
Asia,Kyrgyzstan,Import,Crustaceans,2,0,0,5,7,14,22,25,15,63,13,19,23,24,33,3
Asia,Kyrgyzstan,Import,Fish,3253,2662,3156,4558,4846,5095,6416,8697,8819,7253,7726,8640,9949,10120,11075,7062
Asia,Lao People's Dem. Rep.,Export,Crustaceans,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4
Asia,Lao People's Dem. Rep.,Export,Fish,3,27,1,19,10,0,1,0,1,2,6,5,0,0,0,2
Asia,Lao People's Dem. Rep.,Import,Crustaceans,242,183,214,245,22,126,114,27,73,19,18,25,67,101,146,218
Asia,Lao People's Dem. Rep.,Import,Fish,2251,2646,2185,2555,2554,2619,2263,2518,2380,2243,2519,2986,2967,2892,3581,4622
Asia,Lebanon,Export,Crustaceans,1,2,2,1,7,2,2,2,8,21,6,16,21,25,9,10
Asia,Lebanon,Export,Fish,36,35,76,182,128,164,222,424,709,1127,369,442,430,516,656,663
Asia,Lebanon,Import,Crustaceans,521,764,836,997,1163,1242,1100,1502,1619,2270,2299,2668,2437,1985,2823,2633
Asia,Lebanon,Import,Fish,12817,17988,14427,15874,19694,18147,20444,20033,20357,23768,25686,24678,24986,27734,29821,27286
Asia,Malaysia,Export,Crustaceans,19697,26631,45016,30175,66122,72252,65402,74869,75202,69256,87788,87960,69805,58607,58663,46384
Asia,Malaysia,Export,Fish,36882,40425,65467,59354,105761,109040,109970,135042,134276,121042,125374,133596,123357,115541,106349,131126
Asia,Malaysia,Import,Crustaceans,21340,29063,62962,37910,54268,46323,35887,38118,26031,36313,44113,49532,56840,45883,53556,37851
Asia,Malaysia,Import,Fish,282655,304527,369853,329017,248065,326747,365372,361208,320184,324023,321614,271738,309372,365078,354875,317996
Asia,Maldives,Export,Fish,28796,29224,44625,69545,75416,81292,110581,65813,65122,39813,33934,38795,40711,42605,49434,45409
Asia,Maldives,Import,Crustaceans,0,125,145,167,203,174,309,391,381,366,448,528,572,664,776,1025
Asia,Maldives,Import,Fish,0,106,199,95,106,62,129,239,250,206,719,1731,882,980,2164,1470
Asia,Mongolia,Export,Crustaceans,0,0,0,23,0,0,0,0,0,0,0,0,11,0,0,0
Asia,Mongolia,Export,Fish,427,150,263,359,172,392,321,135,54,45,176,210,108,34,61,93
Asia,Mongolia,Import,Crustaceans,0,0,0,0,20,2,0,1,0,10,2,1,6,10,1,4
Asia,Mongolia,Import,Fish,322,482,383,429,201,331,319,643,798,669,936,1287,1927,1312,1303,843
Asia,Myanmar,Export,Crustaceans,44399,52321,63416,76963,80847,75721,98015,85862,61493,43316,35221,41080,41762,47338,51044,44343
Asia,Myanmar,Export,Fish,72210,92302,138251,136036,124616,192808,190056,185056,265965,264511,313894,302202,318797,302364,273666,257910
Asia,Myanmar,Import,Crustaceans,7,14,25,109,112,106,79,124,517,743,1437,1444,1335,987,1871,3115
Asia,Myanmar,Import,Fish,372,78,260,681,835,825,994,1314,1556,1953,3250,4468,5598,8268,6628,13472
Asia,Nepal,Export,Fish,33,25,0,9,41,18,0,0,0,9,0,6,14,8,4,6
Asia,Nepal,Import,Crustaceans,1,23,15,0,5,15,2,4,9,18,0,0,1,8,8,5
Asia,Nepal,Import,Fish,181,152,68,296,269,258,621,994,1793,4092,3545,6924,6626,6171,7467,7603
Asia,Oman,Export,Crustaceans,676,1662,466,408,220,78,66,38,99,145,179,425,113,106,34,206
Asia,Oman,Export,Fish,35009,27805,46210,47707,77869,53974,47826,35632,51940,62823,84798,61644,64302,83741,76608,96414
Asia,Oman,Import,Crustaceans,357,664,463,947,756,747,1121,1856,1761,1936,1187,1708,2172,1893,2046,2011
Asia,Oman,Import,Fish,10722,12137,9182,9340,5346,13475,9503,9939,12932,14021,11975,16721,17982,12854,19597,25463
Asia,Pakistan,Export,Crustaceans,17602,16552,15191,13011,16094,14088,15077,17123,19707,15870,22709,23317,23480,21417,17966,15872
Asia,Pakistan,Export,Fish,60766,61028,67485,79994,86887,82497,113235,104807,111575,111495,94632,110847,116239,116502,127653,114365
Asia,Pakistan,Import,Crustaceans,54,13,14,12,52,65,0,47,1,0,2,0,7,22,20,55
Asia,Pakistan,Import,Fish,38,46,72,354,1003,1434,1850,2206,1589,1375,1096,1688,2378,4208,4290,8587
Asia,"Palestine, Occupied Tr.",Export,Fish,0,0,0,0,0,0,0,102,50,59,19,96,42,85,0,119
Asia,"Palestine, Occupied Tr.",Import,Crustaceans,0,0,0,0,0,0,0,5,2,0,1,2,29,13,8,28
Asia,"Palestine, Occupied Tr.",Import,Fish,0,0,0,0,0,0,0,3792,4234,3578,3605,4207,2273,4098,4521,4678
Asia,Philippines,Export,Crustaceans,26589,27864,23743,25584,21046,18247,18930,16554,13509,15455,17015,23610,20372,20807,29062,24069
Asia,Philippines,Export,Fish,118524,89455,94384,110284,106038,72425,90297,109778,145843,143817,147472,148415,183549,243682,202581,172880
Asia,Philippines,Import,Crustaceans,204,323,1766,2525,1870,1494,1661,2214,2100,1859,2098,2453,3048,2879,4106,2926
Asia,Philippines,Import,Fish,140733,75800,127138,89107,69700,114057,108728,124458,130598,203724,147612,163654,217887,205973,239202,310653
Asia,Qatar,Export,Crustaceans,0,0,0,0,0,0,0,0,0,0,37,21,20,0,0,7
Asia,Qatar,Export,Fish,1509,2187,2269,2260,2319,4962,3143,2496,2450,3246,5749,3860,1579,2001,1753,1632
Asia,Qatar,Import,Crustaceans,176,156,431,479,488,923,1019,1725,2818,3064,4330,2700,2443,2276,2656,4257
Asia,Qatar,Import,Fish,2806,3610,3528,2290,3814,6449,8740,9879,15392,18587,18888,21520,28349,26594,28715,30833
Asia,Saudi Arabia,Export,Crustaceans,573,660,1127,6292,4098,6302,6329,8346,9349,10507,19278,12175,8768,4900,9526,13215
Asia,Saudi Arabia,Export,Fish,1705,1633,1718,2781,4837,7754,8188,8640,10281,12638,13863,19505,16561,19056,24152,20687
Asia,Saudi Arabia,Import,Crustaceans,3897,4642,6964,2821,3227,3845,5430,5723,3813,3759,7965,9760,13864,12602,14061,13466
Asia,Saudi Arabia,Import,Fish,66611,79387,77490,83949,112109,125311,138360,138658,102889,108671,181828,187781,211546,209848,216349,212109
Asia,Singapore,Export,Crustaceans,10522,9473,7581,5576,11086,6765,5783,3704,3477,3981,3636,3485,4032,4570,3822,3973
Asia,Singapore,Export,Fish,84415,70952,56077,57964,60796,69396,68849,60540,53890,45794,50120,41268,38925,32139,24083,30522
Asia,Singapore,Import,Crustaceans,20311,18453,19661,27644,34329,32292,32412,32333,32217,33389,33344,33685,33655,35951,39675,34208
Asia,Singapore,Import,Fish,127029,119562,122503,150568,156938,168130,170125,163477,157420,153234,152268,152803,148246,137345,135621,139075
Asia,Sri Lanka,Export,Crustaceans,5705,4861,4963,6566,4377,3876,3537,3363,2386,3614,3293,3722,2757,3835,4225,3285
Asia,Sri Lanka,Export,Fish,13202,10052,8589,8653,9325,12189,17111,17320,16802,15146,14430,13967,14257,18157,19865,12915
Asia,Sri Lanka,Import,Crustaceans,586,524,385,321,1238,464,430,177,639,345,394,537,618,622,991,941
Asia,Sri Lanka,Import,Fish,79886,76079,74139,74863,65991,76026,77115,86321,75499,74280,81528,82496,70158,77083,77145,117756
Asia,Syrian Arab Republic,Export,Crustaceans,0,0,0,0,0,0,0,0,0,9,0,4,5,4,2,0
Asia,Syrian Arab Republic,Export,Fish,27,2,69,0,1,73,92,216,32,118,71,81,29,21,10,41
Asia,Syrian Arab Republic,Import,Crustaceans,3,1,0,10,0,30,26,52,164,94,163,120,82,68,33,15
Asia,Syrian Arab Republic,Import,Fish,7850,6236,12115,12813,14732,13129,21810,23476,20970,31441,28780,31137,21999,22215,23630,13904
Asia,Taiwan Province of China,Export,Crustaceans,2626,2382,6629,4349,2413,2062,1613,1261,1455,1336,1485,1812,1376,1685,2710,2639
Asia,Taiwan Province of China,Export,Fish,599330,618046,682606,658306,635379,657175,596999,661244,559637,634118,642328,630685,663220,676758,649656,628021
Asia,Taiwan Province of China,Import,Crustaceans,32517,25544,23229,18333,16870,15804,14666,22777,44592,42778,49273,46590,45622,49759,44956,47427
Asia,Taiwan Province of China,Import,Fish,84256,68754,77551,78223,69290,70546,62986,77655,115956,148996,159752,160241,177035,154317,161765,169382
Asia,Tajikistan,Import,Crustaceans,0,0,0,0,0,4,6,2,5,7,16,15,6,5,4,14
Asia,Tajikistan,Import,Fish,75,189,344,576,568,500,1139,1108,1414,1012,941,1670,1866,1712,2175,1855
Asia,Thailand,Export,Crustaceans,269759,275811,229898,254021,259351,304147,366130,376491,375146,402260,441147,405898,361394,220766,175697,179340
Asia,Thailand,Export,Fish,752920,838377,885382,1023426,1000520,1092188,1153738,1197463,1217032,1171639,1187153,1167410,1225595,1147571,1194308,1105444
Asia,Thailand,Import,Crustaceans,28603,35443,42745,40225,35907,36402,30978,26057,29095,25756,26648,34959,31649,30104,30528,33942
Asia,Thailand,Import,Fish,601743,737435,860776,958328,1116726,1304910,1336473,1298110,1417375,1449270,1446704,1509539,1496811,1462148,1397654,1338007
Asia,Timor-Leste,Export,Crustaceans,0,0,0,0,0,0,24,10,27,29,24,26,25,25,15,15
Asia,Timor-Leste,Export,Fish,0,0,0,0,0,1,0,0,0,0,0,0,2,12,0,21
Asia,Timor-Leste,Import,Crustaceans,0,0,0,0,2,0,0,2,1,43,87,63,42,21,47,12
Asia,Timor-Leste,Import,Fish,0,0,0,0,96,98,105,137,209,527,1153,1729,2252,2250,2801,2653
Asia,Turkey,Export,Crustaceans,3885,3850,4840,5148,4946,4583,3320,2963,2656,1880,1853,1684,1278,1199,1206,1427
Asia,Turkey,Export,Fish,25292,17746,21016,22715,28027,34531,36305,42249,49889,50266,50849,62855,71188,93082,107951,113548
Asia,Turkey,Import,Crustaceans,120,14,79,151,426,948,731,819,1025,892,1670,1808,1407,1282,2315,1913
Asia,Turkey,Import,Fish,42345,12056,20235,40028,55385,44186,50969,56446,58679,69425,75516,59959,59225,61669,70458,103098
Asia,Turkmenistan,Export,Crustaceans,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia,Turkmenistan,Export,Fish,2222,790,592,114,520,142,94,71,78,0,0,0,0,0,0,0
Asia,Turkmenistan,Import,Crustaceans,1,0,0,1,0,0,1,0,8,1,1,2,2,8,48,15
Asia,Turkmenistan,Import,Fish,20,119,139,367,395,659,527,632,917,1080,2118,1530,2363,2257,2391,2603
Asia,United Arab Emirates,Export,Crustaceans,490,600,2006,1899,2128,6557,7645,6525,5436,5109,5438,8724,6375,5791,7013,7532
Asia,United Arab Emirates,Export,Fish,12599,16692,2631,4922,6551,8717,12297,6437,7480,10746,13621,17865,7546,11304,9265,9927
Asia,United Arab Emirates,Import,Crustaceans,13020,16460,15685,12135,11089,8066,11290,19762,19733,21816,23458,23716,32130,32966,43111,36477
Asia,United Arab Emirates,Import,Fish,27802,33655,33751,58137,50960,40990,44018,62831,79109,108797,131528,99248,133583,171461,173914,188892
Asia,Uzbekistan,Export,Fish,0,65,124,48,48,613,621,1081,819,663,1119,613,107,18,21,10
Asia,Uzbekistan,Import,Crustaceans,1,1,25,0,1,2,0,2,21,1,14,17,17,32,32,26
Asia,Uzbekistan,Import,Fish,453,992,881,922,1575,2002,1415,2109,3833,1524,3526,5205,6501,6607,7928,7077
Asia,Viet Nam,Export,Crustaceans,87770,150943,205575,215873,216837,241106,251302,254770,254147,251244,332929,374375,266319,369407,467079,370663
Asia,Viet Nam,Export,Fish,143094,179271,237076,196643,237978,278514,455686,455221,614080,436985,629029,728324,857604,876308,914401,934163
Asia,Viet Nam,Import,Crustaceans,3430,4170,9533,10808,15175,11349,9306,9205,13051,9163,10087,24998,20421,29022,57769,52492
Asia,Viet Nam,Import,Fish,1474,2739,5800,15659,24782,48252,64922,88854,95708,80967,112962,166042,176656,161166,186340,205067
Asia,Yemen,Export,Crustaceans,784,778,1160,1306,3328,2694,5032,859,1027,936,765,556,1122,1167,1365,878
Asia,Yemen,Export,Fish,18698,37019,50067,53050,45266,65213,77101,88600,97621,84019,101021,102562,95793,93116,75374,47141
Asia,Yemen,Import,Crustaceans,0,0,3,52,22,66,31,457,41,50,14,29,83,41,42,53
Asia,Yemen,Import,Fish,3725,3867,3096,4282,3563,6079,9773,8239,11249,9568,14751,13065,18053,15208,13665,10406
Europe,Albania,Export,Crustaceans,10,59,6,8,1,0,10,3,0,122,70,107,88,14,91,189
Europe,Albania,Export,Fish,1534,1795,1971,2561,2693,511,547,300,360,3156,3528,3031,3929,4881,4575,5749
Europe,Albania,Import,Crustaceans,9,5,5,8,5,33,151,146,202,180,315,482,432,407,595,635
Europe,Albania,Import,Fish,4498,5377,6720,7352,7807,7740,7946,7944,8509,9156,7972,8640,7439,8101,8014,9990
Europe,Andorra,Export,Crustaceans,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Europe,Andorra,Export,Fish,0,0,0,0,0,8,0,0,0,2,0,2,1,0,0,5
Europe,Andorra,Import,Crustaceans,332,251,200,190,182,173,181,194,239,206,194,185,171,161,171,378
Europe,Andorra,Import,Fish,1722,1870,1927,1890,2022,2080,2020,1996,1686,1607,1626,1668,1649,1671,1673,1584
Europe,Austria,Export,Crustaceans,11,19,8,20,15,16,186,250,344,328,246,603,795,695,430,472
Europe,Austria,Export,Fish,4311,3062,5673,8240,10740,4158,2821,3964,4749,5445,6674,8401,10083,10029,8981,8787
Europe,Austria,Import,Crustaceans,1767,1988,1747,2196,3393,4464,3801,4160,4102,5101,4963,4887,5130,4814,5345,5594
Europe,Austria,Import,Fish,39814,44228,44874,50707,55150,54011,53492,61022,58835,55833,56676,62169,64231,67072,65798,65420
Europe,Belarus,Export,Crustaceans,522,188,166,301,254,376,339,338,287,751,1176,1876,2163,1813,1633,1483
Europe,Belarus,Export,Fish,13475,10873,9461,13818,17036,20912,28132,33863,38229,22120,24988,30525,36246,49596,57816,54642
Europe,Belarus,Import,Crustaceans,1637,616,648,937,1149,1472,1319,1570,1719,2115,3306,3687,3630,3933,3549,2058
Europe,Belarus,Import,Fish,84179,109113,122330,119605,127768,131849,132597,138024,147239,136158,130910,115490,130596,153123,165338,156394
Europe,Belgium,Export,Crustaceans,25085,26579,31115,41583,45665,50430,60880,62740,65817,56486,56768,61614,50231,48743,47086,43418
Europe,Belgium,Export,Fish,61262,75119,73841,84568,86087,83886,90379,82996,87734,78778,80807,73537,72052,74608,81322,87561
Europe,Belgium,Import,Crustaceans,39965,39868,46761,61680,64652,69668,80857,83687,87091,72444,75543,83064,67983,61641,64644,57351
Europe,Belgium,Import,Fish,139166,148293,146200,163373,166367,165149,172489,167494,178871,165483,168544,165379,163273,166697,181640,179707
Europe,Bosnia and Herzegovina,Export,Crustaceans,16,10,0,0,3,5,5,2,2,0,0,0,1,2,3,2
Europe,Bosnia and Herzegovina,Export,Fish,60,35,155,468,2313,2375,2795,2488,2776,3033,3146,2981,2332,1976,1673,2105
Europe,Bosnia and Herzegovina,Import,Crustaceans,46,42,169,19,43,52,40,45,64,46,42,42,43,40,55,67
Europe,Bosnia and Herzegovina,Import,Fish,4479,5972,6360,8149,12406,13206,11027,11361,11728,11378,10869,9746,9241,9543,10623,10309
Europe,Bulgaria,Export,Crustaceans,0,0,0,0,0,1,0,28,4,11,143,1058,1293,1047,1194,1414
Europe,Bulgaria,Export,Fish,1783,2054,2916,2985,2979,1800,2175,2499,3228,4184,6398,5366,6028,6748,5390,6184
Europe,Bulgaria,Import,Crustaceans,74,64,47,112,119,172,225,315,461,418,415,494,435,1032,1740,2499
Europe,Bulgaria,Import,Fish,16554,18244,17451,22830,23221,24219,29198,22122,29266,28980,27666,26177,26780,28436,27373,29178
Europe,Croatia,Export,Crustaceans,138,123,147,149,185,160,170,150,153,124,119,110,123,162,257,282
Europe,Croatia,Export,Fish,17117,20148,20959,21524,21971,22719,27792,28969,27570,30901,32407,36980,31118,32239,44289,49485
Europe,Croatia,Import,Crustaceans,363,492,463,578,626,673,720,926,1067,892,1150,1113,1435,1194,1312,1435
Europe,Croatia,Import,Fish,20877,35866,49591,50578,31329,46080,43408,37628,43631,34645,31548,27220,22703,20202,19247,22274
Europe,Czechia,Export,Crustaceans,35,59,32,51,26,37,40,102,58,84,74,96,165,355,298,150
Europe,Czechia,Export,Fish,12130,13312,12787,13374,14780,16916,18801,19646,18549,21523,23205,24221,24663,24269,26342,28196
Europe,Czechia,Import,Crustaceans,277,318,349,456,444,492,511,740,795,926,844,1011,1204,1577,2409,2036
Europe,Czechia,Import,Fish,49473,49342,47427,49194,54739,57518,56431,60166,62863,60766,59579,57780,55986,56604,59397,62569
Europe,Denmark,Export,Crustaceans,108531,101313,116350,126947,164205,173056,178423,148301,136458,127694,126480,106894,103671,108059,103413,89902
